daily_non_vehicle_traffic,avg_temp_f_daily,total_rain_mm_daily,total_snow_mm_daily,avg_cloud_percent_daily,total_vehicle_volume_daily,date,month,day_of_week,holiday
837,57.9847973632813,0,0,92.0000000000000000,2886,2015-06-11,6,4,none
1266,69.3290051269532,0,0,5.3333333333333333,10774,2015-06-12,6,5,none
935,69.5092907714844,0,0,66.0000000000000000,5091,2015-06-13,6,6,none
1328,73.2451916503907,0,0,88.0000000000000000,2909,2015-06-14,6,0,none
1260,78.5425793457032,0,0,0.00000000000000000000,4681,2015-06-19,6,5,none
1128,71.9941784667969,0,0,88.0000000000000000,4045,2015-06-20,6,6,none
729,70.6621960449219,0,0,12.0000000000000000,5157,2015-06-22,6,1,none
1240,72.2597008514405,0,0,42.0000000000000000,66712,2015-06-24,6,3,none
1393,73.2843705866887,0,0,38.4615384615384615,44438,2015-06-25,6,4,none
1180,69.6730969238282,2.12000000476837,0,15.0000000000000000,71212,2015-06-26,6,5,none
1669,70.1717400857677,3.45999991893768,0,5.9130434782608696,63845,2015-06-27,6,6,none
1062,68.7372471618653,30.4300005435944,0,64.0000000000000000,59865,2015-06-28,6,0,none
1087,69.8798261824899,15.6199996471405,0,7.6086956521739130,79276,2015-06-29,6,1,none
1328,66.8517847322163,0.550000011920929,0,17.0000000000000000,71149,2015-06-30,6,2,none
1264,63.8349573815388,0.300000011920929,0,10.8260869565217391,82105,2015-07-01,7,3,none
1252,65.1769970703125,0,0,5.8750000000000000,86035,2015-07-02,7,4,none
1431,67.8064968872071,0,0,1.00000000000000000000,64366,2015-07-03,7,5,Independence Day
1698,72.6830029296876,0,0,10.5833333333333333,51400,2015-07-04,7,6,none
1310,75.2397526550293,0.300000011920929,0,12.6666666666666667,56563,2015-07-05,7,0,none
430,68.6554997253418,85.9999993741512,0,64.8750000000000000,77663,2015-07-06,7,1,none
1398,61.0542469787598,0.600000023841858,0,10.5833333333333333,84266,2015-07-07,7,2,none
1337,63.2450009155274,0,0,21.6250000000000000,87620,2015-07-08,7,3,none
1453,68.6809994506836,0.300000011920929,0,24.1666666666666667,89488,2015-07-09,7,4,none
1502,73.9744984436036,0,0,20.0000000000000000,87818,2015-07-10,7,5,none
1456,73.63625,0.300000011920929,0,47.0416666666666667,65173,2015-07-11,7,6,none
1068,77.3513914954144,9.90999984741211,0,51.7826086956521739,54144,2015-07-12,7,0,none
1218,73.9617451477051,35.6699996590614,0,29.6666666666666667,82397,2015-07-13,7,1,none
1306,73.9392483520508,0,0,10.7500000000000000,83920,2015-07-14,7,2,none
1309,71.2145039367676,4.08999997377396,0,28.5416666666666667,84842,2015-07-15,7,3,none
796,68.6217488098145,5.12999996542931,0,74.0833333333333333,86824,2015-07-16,7,4,none
1241,74.8077496337891,0.300000011920929,0,49.9583333333333333,88377,2015-07-17,7,5,none
1509,75.5555020141602,22.9400003254414,0,31.2916666666666667,66894,2015-07-18,7,6,none
1541,72.4107525634766,0,0,1.00000000000000000000,64483,2015-07-19,7,0,none
1297,72.3980038452149,0,0,16.9166666666666667,83472,2015-07-20,7,1,none
1480,69.3537495422364,0,0,10.7500000000000000,86129,2015-07-21,7,2,none
1402,72.0087513732911,0,0,13.6666666666666667,86766,2015-07-22,7,3,none
1387,73.5867543029786,0.600000023841858,0,1.00000000000000000000,86918,2015-07-23,7,4,none
1066,76.3969998168946,13.950000166893,0,45.7083333333333333,82645,2015-07-24,7,5,none
1581,75.7182507324219,0.300000011920929,0,7.3750000000000000,41370,2015-07-25,7,6,none
1419,77.2594998168946,0,0,28.2083333333333333,51573,2015-07-26,7,0,none
2134,77.3892529296875,0,0,20.9583333333333333,81927,2015-07-27,7,1,none
725,75.9920002746583,47.0999999046326,0,40.4166666666666667,84090,2015-07-28,7,2,none
1363,72.3176517917799,0,0,6.0869565217391304,77804,2015-07-29,7,3,none
1371,73.1386027725883,0,0,2.6956521739130435,86105,2015-07-30,7,4,none
1311,72.4745007324219,0,0,2.6250000000000000,91315,2015-07-31,7,5,none
1512,73.4779965209961,0,0,17.8750000000000000,57769,2015-08-01,8,6,none
1327,74.8002514648438,0,0,12.8333333333333333,55734,2015-08-02,8,0,none
1303,67.827494506836,0,0,11.5416666666666667,84346,2015-08-03,8,1,none
1463,67.8582493591309,1.20000004768372,0,7.3333333333333333,85946,2015-08-04,8,2,none
1351,68.2825191597317,1.5,0,9.2608695652173913,85390,2015-08-05,8,3,none
808,67.8102528381348,32.5299996733665,0,61.4583333333333333,88264,2015-08-06,8,4,none
950,72.6027478027344,14.6500000357628,0,53.2083333333333333,89022,2015-08-07,8,5,none
1187,71.3547512817383,3.80999994277954,0,35.6666666666666667,68759,2015-08-08,8,6,none
1249,71.8002468872071,16.9499995708466,0,45.0000000000000000,60456,2015-08-09,8,0,none
1401,71.5100038213316,0.25,0,9.4782608695652174,82827,2015-08-10,8,1,none
1449,69.8239987182618,0.810000002384186,0,4.2500000000000000,85680,2015-08-11,8,2,none
1360,72.1872540283204,0,0,1.00000000000000000000,91023,2015-08-12,8,3,none
1241,75.8577450561524,2.52999994158745,0,9.5833333333333333,90583,2015-08-13,8,4,none
1258,78.8990032958985,1.20000004768372,0,1.0833333333333333,88084,2015-08-14,8,5,none
1396,78.5082447814942,0.600000023841858,0,1.1666666666666667,68999,2015-08-15,8,6,none
967,74.0539936828614,40.7299988865852,0,45.7916666666666667,59072,2015-08-16,8,0,none
971,65.8822667926291,7.46999993920326,0,39.5217391304347826,80336,2015-08-17,8,1,none
565,62.6854924011231,31.0099996626377,0,85.0416666666666667,84754,2015-08-18,8,2,none
646,60.0769993591309,3.52000004053116,0,89.3750000000000000,88288,2015-08-19,8,3,none
1123,61.8245030212403,0,0,28.5000000000000000,91338,2015-08-20,8,4,none
1214,67.9520016479493,0,0,12.0416666666666667,89388,2015-08-21,8,5,none
990,71.5718329653533,18.2100002169609,0,62.1739130434782609,66467,2015-08-22,8,6,none
769,61.3932530212403,1.61000001430511,0,73.7916666666666667,59830,2015-08-23,8,0,none
797,59.8092556762696,0,0,55.3750000000000000,85039,2015-08-24,8,1,none
1104,62.0787856657609,0,0,23.5652173913043478,87020,2015-08-25,8,2,none
1266,60.8052510070801,0,0,6.0416666666666667,90009,2015-08-26,8,3,none
1062,65.4635021972657,0,0,24.3333333333333333,92247,2015-08-27,8,4,State Fair
966,66.6177464294434,0.580000013113022,0,24.6250000000000000,92976,2015-08-28,8,5,none
1291,60.8264725269991,0.550000011920929,0,33.8235294117647059,50463,2015-08-29,8,6,none
1650,69.1822777210583,0.75,0,26.5454545454545455,64163,2015-08-30,8,0,none
1113,73.3857456970215,0.550000011920929,0,19.8333333333333333,88960,2015-08-31,8,1,none
1107,78.4507995605469,0.300000011920929,0,10.3000000000000000,42220,2015-09-01,9,2,none
864,72.6575,4.83000007271767,0,52.3500000000000000,86892,2015-09-02,9,3,none
1009,74.3135021972657,0.300000011920929,0,37.7083333333333333,94326,2015-09-03,9,4,none
1071,77.9937504577637,0,0,11.3750000000000000,91073,2015-09-04,9,5,none
1169,79.7195011901856,4.46999990940094,0,18.2083333333333333,67099,2015-09-05,9,6,none
756,77.8542561340332,11.6999996304512,0,51.6666666666666667,59227,2015-09-06,9,0,none
1747,71.9135021972657,0.600000023841858,0,14.2916666666666667,58327,2015-09-07,9,1,Labor Day
951,68.6082516479493,6.25,0,23.3333333333333333,87806,2015-09-08,9,2,none
868,60.4857571411133,14.7100001573563,0,47.8750000000000000,86627,2015-09-09,9,3,none
872,61.5492474365235,2.48999997973442,0,48.4166666666666667,91465,2015-09-10,9,4,none
845,54.2727528381348,0.600000023841858,0,25.7916666666666667,87828,2015-09-11,9,5,none
1094,55.2282429504395,0.25,0,13.2916666666666667,45574,2015-09-12,9,6,none
1206,61.2950054931641,0.300000011920929,0,5.7083333333333333,56216,2015-09-13,9,0,none
1101,69.695910273013,0,0,1.1739130434782609,84963,2015-09-14,9,1,none
1094,75.2000027465821,0.790000021457672,0,2.9583333333333333,91042,2015-09-15,9,2,none
1015,75.5690005493165,4.07999989390373,0,22.6000000000000000,67440,2015-09-16,9,3,none
432,71.401248626709,37.6699997782707,0,55.9166666666666667,87109,2015-09-17,9,4,none
678,56.9300022888184,6.71999990940094,0,41.8750000000000000,88821,2015-09-18,9,5,none
1042,57.2487545776368,0.25,0,4.0833333333333333,71306,2015-09-19,9,6,none
919,58.974278390067,1.76999998092651,0,14.8571428571428571,53407,2015-09-20,9,0,none
1053,68.0771444266183,0,0,4.7142857142857143,76617,2015-09-21,9,1,none
915,67.20705078125,0,0,49.5789473684210526,63081,2015-09-22,9,2,none
702,65.6224401324729,9.1399998664856,0,61.2608695652173913,81431,2015-09-23,9,3,none
636,65.2370023970171,7.64999997615814,0,79.5454545454545455,85804,2015-09-24,9,4,none
952,66.4114895629883,0,0,51.0625000000000000,60633,2015-09-25,9,5,none
1041,65.8991441127232,0,0,7.3571428571428571,37630,2015-09-26,9,6,none
1198,68.8074318150112,0,0,4.5238095238095238,52460,2015-09-27,9,0,none
882,66.9515005493164,4.69999992847443,0,48.4500000000000000,75782,2015-09-28,9,1,none
810,53.9111427525112,0,0,12.2857142857142857,73012,2015-09-29,9,2,none
768,48.6439988490514,0,0,1.00000000000000000000,78059,2015-09-30,9,3,none
740,51.5182995605469,0,0,1.00000000000000000000,70811,2015-10-01,10,4,none
730,51.3032037353516,0,0,2.1000000000000000,73723,2015-10-02,10,5,none
700,50.0634324428014,0,0,0.90476190476190476190,64148,2015-10-03,10,6,none
747,49.1265680803572,0,0,17.1428571428571429,57209,2015-10-04,10,0,none
708,52.843996233259,0,0,70.3809523809523810,75852,2015-10-05,10,1,none
854,59.7271932983399,0,0,56.8000000000000000,70822,2015-10-06,10,2,none
764,51.9447792650306,0,0,15.1739130434782609,80002,2015-10-07,10,3,none
612,55.6837135532924,14.9800002574921,0,74.4285714285714286,77857,2015-10-08,10,4,none
691,49.9819954681397,0,0,49.6250000000000000,55570,2015-10-09,10,5,none
942,60.6991976928711,0,0,6.6500000000000000,44739,2015-10-10,10,6,none
1393,69.4235663637908,0,0,4.5652173913043478,39648,2015-10-11,10,0,none
635,53.8331788219106,0.5,0,66.5909090909090909,74168,2015-10-12,10,1,Columbus Day
652,48.3942478942872,0.509999990463257,0,40.2500000000000000,86635,2015-10-13,10,2,none
782,53.9995947265625,0,0,6.4666666666666667,46734,2015-10-14,10,3,none
640,51.507721296038,0,0,17.3333333333333333,83807,2015-10-15,10,4,none
543,38.3720043945313,0,0,5.3333333333333333,31502,2015-10-16,10,5,none
603,38.5470865145597,0,0,1.00000000000000000000,26585,2015-10-17,10,6,none
682,44.8022343893613,0,0,1.00000000000000000000,35327,2015-10-18,10,0,none
899,60.3026321571752,0,0,13.8947368421052632,62031,2015-10-19,10,1,none
625,59.3766172438402,0,0,4.0000000000000000,50594,2015-10-20,10,2,none
915,54.6035021972657,0.25,0,12.7000000000000000,78425,2015-10-21,10,3,none
959,46.2839019775391,0,0,5.4500000000000000,75393,2015-10-22,10,4,none
482,50.4427984619141,0.509999990463257,0,78.1000000000000000,30351,2015-10-23,10,5,none
691,51.5639904785157,0,0,58.6666666666666667,39805,2015-10-27,10,2,none
495,41.1467621319111,0,0,90.0000000000000000,45281,2015-10-28,10,3,none
560,42.4898322941707,0,0,90.0000000000000000,46928,2015-10-29,10,4,none
650,46.1064681302584,0,0,64.7692307692307692,50363,2015-10-30,10,5,none
494,47.0119915771485,0,0,85.8333333333333333,34304,2015-10-31,10,6,none
804,48.8147628079928,0,0,34.7692307692307692,29978,2015-11-01,11,0,none
872,52.9118434495193,0,0,16.8461538461538462,46063,2015-11-02,11,1,none
1092,54.3624284144811,0,0,10.7142857142857143,45026,2015-11-03,11,2,none
824,58.3132336425782,0,0,61.4615384615384615,48091,2015-11-04,11,3,none
644,56.1158454777645,0,0,71.3076923076923077,50340,2015-11-05,11,4,none
631,42.4995425180289,0,0,77.0000000000000000,51270,2015-11-06,11,5,none
548,39.7967748084435,0,0,13.3076923076923077,36757,2015-11-07,11,6,none
720,48.2263054950421,0,0,1.9230769230769231,29527,2015-11-08,11,0,none
772,49.958853062221,0,0,2.1428571428571429,45028,2015-11-09,11,1,none
773,49.1982997483474,0,0,25.2307692307692308,47645,2015-11-10,11,2,none
425,46.6561563814604,0,0,62.1538461538461538,41316,2015-11-11,11,3,Veterans Day
502,41.1365032958985,0,0,88.7500000000000000,44707,2015-11-12,11,4,none
547,36.3726194411058,0,0,16.8461538461538462,43948,2015-11-13,11,5,none
644,42.0491323416574,0,0,1.2857142857142857,42169,2015-11-14,11,6,none
797,46.7948788452149,0,0,6.3750000000000000,36218,2015-11-15,11,0,none
395,50.3240078735352,0,0,90.0000000000000000,35518,2015-11-16,11,1,none
374,50.8820094651443,0,0,90.0000000000000000,46592,2015-11-17,11,2,none
444,50.546000366211,0,0,87.5000000000000000,43146,2015-11-18,11,3,none
482,32.4389181753306,0,0,59.4615384615384615,45905,2015-11-19,11,4,none
428,27.5424276297433,0,0,25.3571428571428571,47333,2015-11-20,11,5,none
407,22.149854266827,0,0,30.5384615384615385,40891,2015-11-21,11,6,none
332,25.0519918387277,0,0,55.4285714285714286,32785,2015-11-22,11,0,none
495,34.2879298753005,0,0,39.3076923076923077,44802,2015-11-23,11,1,none
516,35.1472255295974,0,0,18.3076923076923077,46377,2015-11-24,11,2,none
492,41.5718485201323,0,0,56.4615384615384615,44851,2015-11-25,11,3,none
157,31.8894273158483,0,0,87.8571428571428571,26843,2015-11-26,11,4,Thanksgiving Day
261,21.1155295034556,0,0,33.5384615384615385,35319,2015-11-27,11,5,none
315,20.5597136579241,0,0,1.5714285714285714,39343,2015-11-28,11,6,none
289,26.9032243464544,0,0,65.6153846153846154,33291,2015-11-29,11,0,none
437,32.5024899291993,0,0,90.0000000000000000,32892,2015-11-30,11,1,none
422,32.4799908447266,0,0,90.0000000000000000,40136,2015-12-01,12,2,none
459,31.9404642427885,0,0,90.0000000000000000,44025,2015-12-02,12,3,none
443,27.5990032958985,0,0,34.3333333333333333,45504,2015-12-03,12,4,none
479,32.1592231633113,0,0,1.3076923076923077,50438,2015-12-04,12,5,none
568,39.9283022836539,0,0,34.0769230769230769,39395,2015-12-05,12,6,none
404,35.9735012817383,0,0,88.7500000000000000,27797,2015-12-06,12,0,none
557,35.9655295034556,0,0,63.6153846153846154,43378,2015-12-07,12,1,none
489,35.7604992675782,0,0,40.0833333333333333,43499,2015-12-08,12,2,none
570,37.1770721905048,0,0,19.2307692307692308,45079,2015-12-09,12,3,none
453,43.3054974365235,0,0,54.9166666666666667,44397,2015-12-10,12,4,none
495,37.2379956054688,0,0,77.2857142857142857,53747,2015-12-11,12,5,none
495,37.5564639047476,0,0,79.3076923076923077,39693,2015-12-12,12,6,none
300,39.0200054931641,0,0,90.0000000000000000,33004,2015-12-13,12,0,none
343,35.2496899414063,0,0,90.0000000000000000,44377,2015-12-14,12,1,none
459,32.3904557917669,0,0,90.0000000000000000,48057,2015-12-15,12,2,none
359,33.6393815730169,0,0,90.0000000000000000,48353,2015-12-16,12,3,none
408,25.0532905796596,0,0,87.8571428571428571,54523,2015-12-17,12,4,none
376,16.2320010141226,0,0,54.6153846153846154,49323,2015-12-18,12,5,none
305,15.8047937011719,0,0,19.6666666666666667,41621,2015-12-19,12,6,none
372,32.6522408519072,0.509999990463257,0,29.4705882352941176,38050,2015-12-20,12,0,none
440,30.8369213867188,0,0,90.0000000000000000,47346,2015-12-21,12,1,none
351,31.1867310680043,0,0,79.0909090909090909,44064,2015-12-22,12,2,none
