daily_non_vehicle_traffic,avg_temp_f_daily,total_rain_mm_daily,total_snow_mm_daily,avg_cloud_percent_daily,total_vehicle_volume_daily,date,month,day_of_week,holiday
837,58.0,0.0,0.0,92.0,2886,6/11/2015,6,4,none
1266,69.3,0.0,0.0,5.3,10774,6/12/2015,6,5,none
935,69.5,0.0,0.0,66.0,5091,6/13/2015,6,6,none
1328,73.2,0.0,0.0,88.0,2909,6/14/2015,6,0,none
1260,78.5,0.0,0.0,0.0,4681,6/19/2015,6,5,none
1128,72.0,0.0,0.0,88.0,4045,6/20/2015,6,6,none
729,70.7,0.0,0.0,12.0,5157,6/22/2015,6,1,none
1240,72.3,0.0,0.0,42.0,66712,6/24/2015,6,3,none
1393,73.3,0.0,0.0,38.5,44438,6/25/2015,6,4,none
1180,69.7,2.1,0.0,15.0,71212,6/26/2015,6,5,none
1669,70.2,3.5,0.0,5.9,63845,6/27/2015,6,6,none
1062,68.7,30.4,0.0,64.0,59865,6/28/2015,6,0,none
1087,69.9,15.6,0.0,7.6,79276,6/29/2015,6,1,none
1328,66.9,0.6,0.0,17.0,71149,6/30/2015,6,2,none
1264,63.8,0.3,0.0,10.8,82105,7/1/2015,7,3,none
1252,65.2,0.0,0.0,5.9,86035,7/2/2015,7,4,none
1431,67.8,0.0,0.0,1.0,64366,7/3/2015,7,5,Independence Day
1698,72.7,0.0,0.0,10.6,51400,7/4/2015,7,6,none
1310,75.2,0.3,0.0,12.7,56563,7/5/2015,7,0,none
430,68.7,86.0,0.0,64.9,77663,7/6/2015,7,1,none
1398,61.1,0.6,0.0,10.6,84266,7/7/2015,7,2,none
1337,63.2,0.0,0.0,21.6,87620,7/8/2015,7,3,none
1453,68.7,0.3,0.0,24.2,89488,7/9/2015,7,4,none
1502,74.0,0.0,0.0,20.0,87818,7/10/2015,7,5,none
1456,73.6,0.3,0.0,47.0,65173,7/11/2015,7,6,none
1068,77.4,9.9,0.0,51.8,54144,7/12/2015,7,0,none
1218,74.0,35.7,0.0,29.7,82397,7/13/2015,7,1,none
1306,73.9,0.0,0.0,10.8,83920,7/14/2015,7,2,none
1309,71.2,4.1,0.0,28.5,84842,7/15/2015,7,3,none
796,68.6,5.1,0.0,74.1,86824,7/16/2015,7,4,none
1241,74.8,0.3,0.0,50.0,88377,7/17/2015,7,5,none
1509,75.6,22.9,0.0,31.3,66894,7/18/2015,7,6,none
1541,72.4,0.0,0.0,1.0,64483,7/19/2015,7,0,none
1297,72.4,0.0,0.0,16.9,83472,7/20/2015,7,1,none
1480,69.4,0.0,0.0,10.8,86129,7/21/2015,7,2,none
1402,72.0,0.0,0.0,13.7,86766,7/22/2015,7,3,none
1387,73.6,0.6,0.0,1.0,86918,7/23/2015,7,4,none
1066,76.4,14.0,0.0,45.7,82645,7/24/2015,7,5,none
1581,75.7,0.3,0.0,7.4,41370,7/25/2015,7,6,none
1419,77.3,0.0,0.0,28.2,51573,7/26/2015,7,0,none
2134,77.4,0.0,0.0,21.0,81927,7/27/2015,7,1,none
725,76.0,47.1,0.0,40.4,84090,7/28/2015,7,2,none
1363,72.3,0.0,0.0,6.1,77804,7/29/2015,7,3,none
1371,73.1,0.0,0.0,2.7,86105,7/30/2015,7,4,none
1311,72.5,0.0,0.0,2.6,91315,7/31/2015,7,5,none
1512,73.5,0.0,0.0,17.9,57769,8/1/2015,8,6,none
1327,74.8,0.0,0.0,12.8,55734,8/2/2015,8,0,none
1303,67.8,0.0,0.0,11.5,84346,8/3/2015,8,1,none
1463,67.9,1.2,0.0,7.3,85946,8/4/2015,8,2,none
1351,68.3,1.5,0.0,9.3,85390,8/5/2015,8,3,none
808,67.8,32.5,0.0,61.5,88264,8/6/2015,8,4,none
950,72.6,14.7,0.0,53.2,89022,8/7/2015,8,5,none
1187,71.4,3.8,0.0,35.7,68759,8/8/2015,8,6,none
1249,71.8,16.9,0.0,45.0,60456,8/9/2015,8,0,none
1401,71.5,0.2,0.0,9.5,82827,8/10/2015,8,1,none
1449,69.8,0.8,0.0,4.2,85680,8/11/2015,8,2,none
1360,72.2,0.0,0.0,1.0,91023,8/12/2015,8,3,none
1241,75.9,2.5,0.0,9.6,90583,8/13/2015,8,4,none
1258,78.9,1.2,0.0,1.1,88084,8/14/2015,8,5,none
1396,78.5,0.6,0.0,1.2,68999,8/15/2015,8,6,none
967,74.1,40.7,0.0,45.8,59072,8/16/2015,8,0,none
971,65.9,7.5,0.0,39.5,80336,8/17/2015,8,1,none
565,62.7,31.0,0.0,85.0,84754,8/18/2015,8,2,none
646,60.1,3.5,0.0,89.4,88288,8/19/2015,8,3,none
1123,61.8,0.0,0.0,28.5,91338,8/20/2015,8,4,none
1214,68.0,0.0,0.0,12.0,89388,8/21/2015,8,5,none
990,71.6,18.2,0.0,62.2,66467,8/22/2015,8,6,none
